Filename,LowerCorner,UpperCorner
111_E_BUILD_94182044_4.gml,182313.316 2502670.269 0.0,184022.62 2505401.216 85.674
111_E_BUILD_94182044_5.gml,181480.83 2502713.026 0.0,184185.531 2505411.859 84.43
111_E_BUILD_94182045_0.gml,183996.605 2502689.599 0.0,186609.161 2505523.949 59.512
111_E_BUILD_94182045_1.gml,183997.08 2502696.619 0.0,186711.433 2505492.331 57.506
111_E_BUILD_94182045_2.gml,184003.916 2502698.647 0.0,186586.568 2505484.146 69.393
111_E_BUILD_94182045_3.gml,184002.656 2502695.757 0.0,186590.135 2505485.262 74.981
111_E_BUILD_94182045_4.gml,184009.747 2502705.551 0.0,186577.985 2505386.558 54.127
111_E_BUILD_94182046_0.gml,186567.506 2502660.565 0.0,189165.396 2505041.476 39.751
111_E_BUILD_94182046_1.gml,186560.374 2502691.274 0.0,189161.545 2505510.388 58.699
111_E_BUILD_94182046_2.gml,186568.786 2502860.946 0.0,189200.4 2505293.929 52.73
111_E_BUILD_94182047_0.gml,189131.987 2502681.663 0.0,191676.953 2505507.399 57.937
111_E_BUILD_94182048_0.gml,191791.409 2502953.62 0.0,191822.318 2503039.572 4.978
111_E_BUILD_94182051_0.gml,174154.334 2499977.624 0.0,176335.506 2502764.255 56.413
111_E_BUILD_94182051_1.gml,174265.839 2499980.081 0.0,176256.297 2501889.136 29.769
111_E_BUILD_94182052_0.gml,176285.436 2499973.403 0.0,178932.503 2502788.559 130.708
111_E_BUILD_94182052_1.gml,176550.937 2501192.986 0.0,178878.337 2502767.507 323.469
111_E_BUILD_94182052_2.gml,176289.049 2499918.104 0.0,178870.485 2502731.095 266.573
111_E_BUILD_94182053_0.gml,178839.094 2499953.334 0.0,181444.392 2502777.848 131.166
111_E_BUILD_94182053_1.gml,178844.937 2499956.27 0.0,181459.17 2502771.008 99.136
111_E_BUILD_94182053_2.gml,178855.09 2500063.385 0.0,181445.708 2502754.392 99.009
111_E_BUILD_94182053_3.gml,178856.138 2499957.937 0.0,181443.742 2501816.008 101.752
111_E_BUILD_94182053_4.gml,178863.835 2499902.695 0.0,181461.019 2502746.864 101.625
111_E_BUILD_94182054_0.gml,181423.564 2499932.085 0.0,184013.157 2502738.824 80.493
111_E_BUILD_94182054_1.gml,181412.285 2499945.895 0.0,184074.421 2502735.017 73.508
111_E_BUILD_94182054_2.gml,181423.121 2499949.689 0.0,184017.307 2502753.884 96.266
111_E_BUILD_94182054_3.gml,181414.774 2499934.857 0.0,184033.383 2502728.304 89.408
111_E_BUILD_94182054_4.gml,181423.322 2499948.682 0.0,184012.391 2502791.263 83.007
111_E_BUILD_94182055_0.gml,183953.581 2499978.71 0.0,186596.492 2502732.203 102.362
111_E_BUILD_94182055_1.gml,183910.153 2499972.579 0.0,186579.317 2502755.141 92.964
111_E_BUILD_94182056_0.gml,186576.188 2499930.017 0.0,188610.225 2502648.797 52.375
111_E_BUILD_94182056_1.gml,186623.51 2499924.609 0.0,189161.932 2502709.477 49.225
111_E_BUILD_94182056_2.gml,186561.038 2499925.156 0.0,188694.266 2502713.886 46.558
111_E_BUILD_94182056_3.gml,186573.509 2499917.025 0.0,189159.266 2502712.688 43.612
111_E_BUILD_94182057_0.gml,189115.778 2499917.173 0.0,191750.515 2502707.238 42.393
111_E_BUILD_94182057_1.gml,189156.881 2499922.206 0.0,191728.559 2501360.35 36.22
111_E_BUILD_94182058_0.gml,191700.343 2500069.173 0.0,192781.602 2500712.289 18.263
111_E_BUILD_94182061_0.gml,175825.821 2499191.281 0.0,176306.916 2499991.15 23.292
111_E_BUILD_94182062_0.gml,176279.024 2497201.524 0.0,178904.792 2500014.129 59.055
111_E_BUILD_94182063_0.gml,178844.15 2497190.358 0.0,181445.662 2500008.669 59.512
111_E_BUILD_94182063_1.gml,178846.771 2497181.666 0.0,181445.662 2499984.345 70.002
111_E_BUILD_94182063_2.gml,178849.22 2497185.51 0.0,181426.899 2499583.045 69.088
111_E_BUILD_94182063_3.gml,178844.564 2497174.591 0.0,181432.723 2499969.735 63.449
111_E_BUILD_94182063_4.gml,178845.255 2497197.299 0.0,181435.618 2499988.889 59.08
111_E_BUILD_94182064_0.gml,181400.755 2497177.435 0.0,184008.906 2499979.663 66.878
111_E_BUILD_94182064_1.gml,181416.705 2498386.746 0.0,184007.119 2499966.27 59.08
111_E_BUILD_94182064_2.gml,181417.411 2497174.682 0.0,184003.153 2499946.188 59.207
111_E_BUILD_94182065_0.gml,183952.225 2498117.049 0.0,186574.467 2499929.186 59.69
111_E_BUILD_94182065_1.gml,183973.554 2497165.093 0.0,186534.12 2499745.473 65.938
111_E_BUILD_94182065_2.gml,184026.511 2497161.23 0.0,186120.023 2497345.55 18.72
111_E_BUILD_94182066_0.gml,186543.904 2497164.563 0.0,189169.21 2499942.421 59.182
111_E_BUILD_94182066_1.gml,186571.523 2497165.931 0.0,189172.267 2499940.956 22.352
111_E_BUILD_94182067_0.gml,189086.654 2497130.059 0.0,191719.976 2499943.101 41.529
111_E_BUILD_94182067_1.gml,189102.098 2497242.237 0.0,191703.515 2499927.265 45.999
111_E_BUILD_94182068_0.gml,191673.767 2497153.338 0.0,193118.855 2499878.275 27.026
111_E_BUILD_94182072_0.gml,177710.834 2495517.036 0.0,178867.721 2497217.7 22.047
111_E_BUILD_94182073_0.gml,178830.615 2494452.632 0.0,181435.411 2497239.322 49.327
111_E_BUILD_94182074_0.gml,181403.925 2495922.375 0.0,184008.501 2497133.903 60.35
111_E_BUILD_94182074_1.gml,181402.991 2494140.423 0.0,184011.837 2497197.488 61.316
111_E_BUILD_94182074_2.gml,181362.934 2495020.57 0.0,184090.643 2496237.041 52.73
111_E_BUILD_94182075_0.gml,183965.367 2495886.619 0.0,186562.88 2497182.373 56.718
111_E_BUILD_94182075_1.gml,183942.949 2494342.954 0.0,186566.67 2497194.811 42.443
